profile,A,x_match,q,compactness_2M_over_R,compactness_class,f_match,min_f_inside,zero_crossings_inside,finite_curvature,regular_center_proxy,Ricci_min,Ricci_max,Ricci_abs_max,K_min,K_max,K_abs_max,rho_center,rho_boundary
untapered,20.0,4.0,4,4.3043613923140525,horizon_interior_static_caution,-3.3043613923140533,-5.303188852311318,1,True,True,0.0012623775311602081,80.00902752020934,80.00902752020934,0.49991974569894976,1066.9074816926866,1066.9074816926866,1.0,0.0038899524973518835
untapered,20.0,5.0,2,3.643058109964217,horizon_interior_static_caution,-2.6430581099642168,-5.303188852311318,1,True,True,0.00021082267481797867,80.00902752020934,80.00902752020934,0.1669275272827322,1066.9074816926866,1066.9074816926866,1.0,0.0015972633304928048
untapered,20.0,5.0,4,3.643058109964217,horizon_interior_static_caution,-2.6430581099642168,-5.303188852311318,1,True,True,0.00021082267481797867,80.00902752020934,80.00902752020934,0.1669275272827322,1066.9074816926866,1066.9074816926866,1.0,0.0015972633304928048
tapered,0.5,3.0,2,0.07619818497593213,subcompact,0.9238018150240679,0.8762994186198906,0,True,True,-0.03641478545048907,1.9999490053816866,1.9999490053816866,0.0008844370460706827,0.6666327308754096,0.6666327308754096,0.9999999977777778,5.728195188922817e-10
tapered,0.5,3.0,4,0.0553763208184371,subcompact,0.9446236791815629,0.8971996401640477,0,True,True,-0.054401706987791884,1.9996723567987673,1.9996723567987673,0.00047334978871360893,0.6664483444180964,0.6664483444180964,0.9999999955555556,2.6894503843147464e-17
tapered,0.5,4.0,2,0.07237939055587835,subcompact,0.9276206094441216,0.8632209930315401,0,True,True,-0.018844095466441113,2.000070051700522,2.000070051700522,0.0002518657745296448,0.6667134196555331,0.6667134196555331,0.9999999987499999,0.0
tapered,0.5,4.0,4,0.05691430944189888,subcompact,0.9430856905581011,0.8785617384455356,0,True,True,-0.03290794115105909,1.9999144265230944,1.9999144265230944,0.000156666933064942,0.666609682073651,0.666609682073651,0.9999999974999998,0.0
tapered,0.5,5.0,2,0.06646197277605528,subcompact,0.9335380272239447,0.8563275186235345,0,True,True,-0.011013549927339328,2.0001260801901957,2.0001260801901957,8.660986299902036e-05,0.6667507702599831,0.6667507702599831,0.9999999991999999,0.0
tapered,0.5,5.0,4,0.054877796894037385,subcompact,0.9451222031059626,0.8676199024069536,0,True,True,-0.02105166072187338,2.00002647688105,2.00002647688105,5.924078207564637e-05,0.6666843721367133,0.6666843721367133,0.9999999983999999,0.0
tapered,1.0,3.0,2,0.15239636995186426,subcompact,0.8476036300481358,0.752598837239781,0,True,True,-0.0728295709391466,3.9998980105365587,3.9998980105365587,0.0035377481842827326,2.6665309231993217,2.6665309231993217,0.9999999977777778,5.728195188922817e-10
tapered,1.0,3.0,4,0.1107526416368742,subcompact,0.8892473583631257,0.7943992803280955,0,True,True,-0.10880341397526419,3.9993447134018156,3.9993447134018156,0.0018933991472429366,2.665793377411575,2.665793377411575,0.9999999955555556,2.6894503843147464e-17
tapered,1.0,4.0,2,0.1447587811117567,subcompact,0.8552412188882433,0.7264419860630802,0,True,True,-0.0376881907052945,4.000140103682369,4.000140103682369,0.0010074631008774168,2.666853678997158,2.666853678997158,0.9999999987499999,0.0
tapered,1.0,4.0,4,0.11382861888379776,subcompact,0.8861713811162022,0.7571234768910712,0,True,True,-0.06581588252974621,3.9998288530467248,3.9998288530467248,0.0006266677322548125,2.666438728295319,2.666438728295319,0.9999999974999998,0.0
tapered,1.0,5.0,2,0.13292394555211057,subcompact,0.8670760544478895,0.712655037247069,0,True,True,-0.022027099816792517,4.000252160305144,4.000252160305144,0.00034643945037259245,2.6670030809396157,2.6670030809396157,0.9999999991999999,0.0
